Cod_CP,Nome_CP,Nome_professione (vedi esempi),Annuncio
6.2.4.1.3,Elettromeccanici,Manutentore Elettromeccanico,"La risorsa inserita, che risponderà direttamente al Responsabile della Manutenzione, si occuperà di:
gestione dei lavori di manutenzione ordinaria e straordinaria dei macchinari adibiti alla produzione, dal controllo periodico alla riparazione;
attività di primo intervento sulle macchine in avaria per ripristino della produzione;
revisione o esecuzione di riparazioni complesse su impianti fermi.
Il candidato ideale è in possesso delle seguenti caratteristiche:
diploma di perito meccanico;
esperienza biennale in posizione analoga;
buona conoscenza dei principi dell’automazione (idraulica, oleodinamica, pneumatica);
conoscenza almeno base della parte elettrica;
ottima conoscenza del disegno meccanico;
conoscenza e utilizzo degli strumenti di misura;
possibile esperienza lavorazioni asportazione truciolo.
Completano il profilo disponibilità a lavorare su turni, ottima capacità di problem solving e di lavorare in team.
"
6.2.4.1.3,Elettromeccanici,Manutentore Elettromeccanico,"UN MANUTENTORE ELETTROMECCANICO
per attività di manutenzione ordinaria e straordinaria su impianti per stampaggio ed estrusione della plastica.
Si valutano candidati con esperienza nella mansione o profili più junior, necessaria disponibilità a lavorare su 2 turni e a rotazione durante il fine settimana. Preferibile competenza maturata in ambito elettrico ed esperienza precedente in mansione similare; completano il profilo autonomia e proattività nello svolgimento dei compiti assegnati.

Durata contratto: inserimento diretto a tempo indeterminato presso azienda cliente"
6.2.4.1.3,Elettromeccanici,Manutentore Elettromeccanico,"La risorsa verrà inserita in produzione e si occuperà della manutenzione e gestione completa dei macchinari, seguendo uno o più reparti. 
E' previsto un periodo iniziale di affiancamento per la corretta conoscenza di tutti i macchinari, che realizzano il processo produttivo, e delle relative componenti meccaniche ed elettriche. 
 
Si valutano anche candidati alle prime esperienze lavorative, purché con titolo di studio in linea con la mansione (perito elettrico o meccanico) 
 
L'orario di lavoro è fulltime su tre turni (anche notturni) e in alcuni casi su giornata; si richiede pertanto la disponibilità al lavoro con queste caratteristiche. "
6.2.4.1.3,Elettromeccanici,Manutentore Elettromeccanico,"La risorsa dovrà occuparsi di diagnostica guasti e malfunzionamenti, manutenzione preventiva di miglioramento e manutenzione straordinaria su macchine ed impianti automatizzati ed installazione nuovi impianti. Requisiti richiesti: diploma tecnico;  esperienza in ruolo analogo;  flessibilità e disponibilità ad effettuare straordinari."
6.2.4.1.3,Elettromeccanici,Manutentore Elettromeccanico,"Il/la candidato/a ideale è in possesso di un diploma di tipo tecnico e ha maturato un’esperienza pluriennale nella manutenzione elettromeccanica.
E’ preferibile un’esperienza maturata in aziende produttive con cicli di lavoro continui.
La risorsa, a diretto riporto del responsabile manutenzione, sarà inserita in un team di lavoro di 3 risorse.
Si richiede:
Capacità di risoluzione e di prevenzione di guasti sia meccanici sia elettrici
Disponibilità a lavorare su turni
Disponibilità a reperibilità
 Modalità di inserimento: diretto in azienda con contratto commisurato alla seniority acquisita"
6.2.4.1.3,Elettromeccanici,Manutentore Elettromeccanico Junior,"Il candidato ideale si occuperà di manutenzione su schemi elettrici, SW PLC supportando risorse esperte organizzazione della documentazione relativa ad interventi manutentivi gestione registro controlli Requisiti:
Diploma tecnico preferibilemnte in Maccatronica
Competenza di base nella programmazione PLC
Conoscenze informatiche di linguaggi tipo SQL
Si propone inserimento di durata temporanea iniziale con inquadramento commisurato all'esperienza."
6.2.4.1.3,Elettromeccanici,Manutentore Elettromeccanico,"Il candidato dovrà disegnare e progettare quadri elettrici, mettere a sevizio presso aziende clienti le macchine prodotte dall'azienda
Il candidato deve necessariamente avere:
Formazione tecnica
Avere competenza in termini di programmazione in PLC
Buone basi di C VISUAL BASIC,programmazione orientata ad oggetti tipo C# o anche C++
Avere esperienza come cablatore bordo macchina
Avere nozioni sui motori elettrici:brushless,stepper, asincroni
Preferibilmente conoscere sistemi di programmazione in GCODE, sistemi CAD CAM o similari
Residenza entro i 2025Km dalla sede aziendale
Disponibilità a trasferte in giornata e ad eventuali straordinari"
6.2.4.1.3,Elettromeccanici,Avvolgitore motori elettrici,"La risorsa verra' inserita in un contesto molto ampio e strutturato e dovra' occuparsi dell'avvolgimento e collaudo elettrico di motori. Nello specifico dovra' garantire la corretta conduzione di test tecnici sui motori, nel rispetto degli standard qualitativi determinati dall'azienda, controllando il buon funzionamento dei prodotti. Dovra' inoltre leggere le schede e i disegni tecnici, operando nel rispetto delle procedure aziendali per garantire lo svolgimento delle attivita' di collaudo e avvolgimento nei tempi e metodi previsti. Completano il profilo la predisposizione al lavoro di squadra, la flessibilità' oraria e la pregressa esperienza nella mansione.
Questa offerta è adatta a te se:
hai maturato minima esperienza nelle medesima mansione (almeno 3/6 mesi);
valuti un'occupazione fulltime;
sei disponibile a lavorare su turni, anche notturno;
ti senti portato per mansioni di tipo manuale e ti piacerebbe specializzarti nella produzione di parti di motori elettrici."
6.2.4.1.3,Elettromeccanici,Progettista di impianti TLC/automazione,"La risorsa si occuperà di:
Elaborazione di schemi elettrici di potenza e funzionali e dimensionamento linee/apparecchiature;
Sviluppo e analisi di impianti di illuminazione industriali;
esecuzione sopralluoghi;
Scelta e definizione di apparecchiature e dispositivi relativi a sistemi di automazione/SCADA (controllori logici programmabili, unità di I/O);
Scelta e definizione di apparecchiature e dispositivi relativi ad impianti speciali quali videosorveglianza TVCC, rilevamento incendio, sensoristica, sistemi e protocolli informatici per il telecontrollo impianti.
Requisiti:
Laurea Triennale o Diploma ad indirizzo elettrico/elettronico;
Esperienza pregressa di almeno 2 anni nella progettazione di impianti elettrici civili e/o industriali;
Conoscenza metodo di progettazione BIM;
Conoscenza delle principali apparecchiature elettriche normalmente utilizzate in campo industriale (trasformatori, gruppi elettrogeni, gruppi statici di continuità
conoscenza lingua inglese.
"
6.2.4.1.3,Elettromeccanici,Tecnico trasfertista,"Randstad Technical, filiale di Trento, è specializzata nella ricerca e selezione di profili qualificati e ad alta professionalità nel settore elettrico e meccanico. Il nostro cliente è un’azienda attiva nel settore elettrico e ci ha incaricati di ricercare la figura di un TECNICO TRASFERTISTA. Nello specifico, le principali responsabilità saranno:
Installazione e testing dei trasformatori;
Commissioning;
Manutenzione straordinaria e ordinaria;
Riparazioni;
Attività tecniche ausiliarie e necessarie.
Desideriamo entrare in contatto con candidati in possesso dei seguenti requisiti:
Diploma perito tecnico indirizzo elettrotecnico o meccanico;
Esperienza nel settore dei trasformatori elettrici di potenza;
Buona conoscenza della lingua inglese;
Disponibilità a frequenti trasferte.
"
6.2.4.1.3,Elettromeccanici,Progettista impianti TLC e Automazione,"La risorsa si occuperà di: Elaborazione di schemi elettrici di potenza e funzionali e dimensionamento linee/apparecchiature;
Sviluppo e analisi di impianti di illuminazione industriali;
esecuzione sopralluoghi;
Scelta e definizione di apparecchiature e dispositivi relativi a sistemi di automazione/SCADA (controllori logici programmabili, unità di I/O);
Scelta e definizione di apparecchiature e dispositivi relativi ad impianti speciali quali videosorveglianza TVCC, rilevamento incendio, sensoristica, sistemi e protocolli informatici per il telecontrollo impianti.
Laurea Triennale o Diploma ad indirizzo elettrico/elettronico;

Esperienza pregressa di almeno 2 anni nella progettazione di impianti elettrici civili e/o industriali;
Conoscenza metodo di progettazione BIM;
Conoscenza delle principali apparecchiature elettriche normalmente utilizzate in campo industriale (trasformatori, gruppi elettrogeni, gruppi statici di continuità
conoscenza lingua inglese.
"
6.2.4.1.3,Elettromeccanici,Manutentore impianti elettrici,"Il candidato avrà qualifica di operaio elettrico specializzato e dovrà essere in grado di svolgere le seguenti mansioni:
Manutenzione ordinaria e/o straordinaria e riparazioni di impianti elettrici/elettromeccanici (in BT e MT) industriali ed impianti elettrici civili;
Monitorare il funzionamento di strumenti e attrezzature del servizio;
Interpretazione di documentazione tecnica e schemi elettrici (Quadri elettrici, interruttori, trasformatori e conduttori in BTe MT;
Impianti di terra e sistemi di sicurezza in BT e MT per la protezione delle macchine ed impianti;
Svolgere servizio di reperibilità.                                                                                                                                                                                                                              Sono richiesti i seguenti requisiti:
Qualifica di operatore professionale in campo elettrico/elettromeccanico
Qualifica di PES ai sensi della normativa CEI 1127
Patente B
Conoscenza livello base di inglese per la lettura di manualistica
IL possesso di patente C ed abilitazione per lavori in PLE saranno titolo preferenziale."
6.2.4.1.3,Elettromeccanici,Progettista motori elettrici ,"La risorsa, inserita all’interno dell’ufficio tecnico, si occuperà di:
Progettazione e sviluppo dell’area elettrica dei prodotti: motori elettrici
Progettazione completa del prodotto anche per la parte meccanica, dopo un opportuno periodo di formazione
Calcoli elettromagnetici
Sviluppo di tecnologie e progetti tesi ad ottimizzare il rendimento delle macchine in funzione delle specifiche richieste del mercato e dei clienti
Si richiedono:
Attitudine al team working
Ottime capacità relazionali e di di problem solving
Predisposizione all’apprendimento di nuovi concetti
Autonomia organizzativa nello svolgimento della propria mansione
Laurea magistrale o laurea breve in ingegneria elettrica o elettrotecnica
Buona conoscenza delle metodologie di calcolo delle macchine rotanti
Esperienza pregressa nel settore delle macchine elettriche o motori elettrici
Conoscenza dei materiali costituenti il motore elettrico
Buona conoscenza della lingua Inglese
Conoscenza degli strumenti di disegno tecnico 2D e 3D
"
6.2.4.1.3,Elettromeccanici,Cablatore Quadri Elettrici,"Randstad Italia Spa, filiale di Sesto San Giovanni, ricerca un cablatore per un'azienda di Cinisello Balsamo. Si tratta di una multinazionale operante nel settore elettrotecnico, che progetta e produce motori e generatori elettrici. La risorsa sarà inserita in un contesto di produzione medio grande, e si occuperà principalmente di cablaggio di quadri elettrici. Si offre iniziale contratto a tempo determinato di 6 mesi in somministrazione, scopo assunzione. Si richiede un diploma elettronico/elettrotecnico e minima esperienza di cablaggio in contesto industriale."
6.2.4.1.3,Elettromeccanici,Montatore di riduttori,Per importante multinazionale sita in San Giovanni in Persiceto (Bo) leader nel mercato nella produzione di motoriduttori e motori elettrici siamo alla ricerca di n 2 montatori di riduttori. La risorsa si occuperà dell'assemblaggio del riduttore in tutto il suo complesso tramite l'ausilio di presse e tutta la strumentazione necessaria per il montaggio. si richiede disponibilità al lavoro sia in orario centrale che su due turni ed esperienza nella mansione.
6.2.4.1.3,Elettromeccanici,Manutentore Meccanico Impianti Automatici,"Randstad Technical Talent Selection è la divisione di Randstad specializzata nella ricerca e selezione di profili in ambito meccanico, meccatronico, elettrotecnico, ingegneristico.  Per Azienda Cliente operante nel settore Servizi di Manutenzione Industriale, per il settore Automotive, stiamo ricercando un Manutentore Meccanico di Impianti Automatici. La risorsa verrà inserita all'interno di un team di manutenzione e si occuperà di manutenzioni meccaniche programmate e straordinarie su impianti automatizzati di produzione.
Sono richieste le seguenti competenze tecniche:
Capacità di leggere disegni meccanici, pneumatici e oleodinamici;
Capacità di eseguire sostituzione meccanica dei componenti (sostituzione pompe e relativo allineamento, sostituzione motori elettrici con autonomia su scollegamento e collegamento elettrico);
Esperienze in ambienti industriali automatici,
Capacità di revisionare componenti meccanici (pompe, motori elettrici, sostituzione cuscinetti, ecc...);
Utilizzo cannello, smerigliatrici, saldatrici (MIG/MAG e TIG);                                                                                                                                                                          E' richiesta disponibilità a svolgere 3 turni lavorativi.
Si offre inserimento con tipologia contrattuale e retribuzione commisurata all'esperienza e all'inquadramento del candidato."
6.2.4.1.3,Elettromeccanici,Junior Montatore elettromeccanico ,"Attività previste per il ruolo
Montaggi elettromeccanici, incollaggi, cablaggi, saldature pth, mediante l’ausilio di schemi di montaggio meccanici/elettrici e/o documentazione tecnica specifica.
Collaudi di tipo elettrico e meccanico atti a verificare la piena rispondenza ad i requisiti progettuali.
Impiego di strumentazione commerciale come Oscilloscopi, Spectrum Analyser, Multimetri, Generatori di segnale, power meter, frequenzimetri, ecc. con l’ausilio di schemi elettrici e documentazione tecnica specifica.
competenze
Titolo di studio
Perito Elettronico
Competenze professionali
Conoscenza della principale strumentazione di misura commerciale elettronica (Oscilloscopi, Spectrum Analyser, Multimetri,ecc.).
Conoscenza disegno elettrico. Attitudine ad attività manuali sia in ambito meccanico (montaggio di parti) che elettrico (saldature a stagno).
Buone conoscenze del pacchetto office ed in generale dell’utilizzo.
Propensione al lavoro di team, disponibilità, spirito di iniziativa, orientamento ai risultati.
Esperienza professionale
Costituisce titolo preferenziale una pregressa esperienza in attività di montaggio/smontaggio di sistemi elettromeccanici (motori, pompe e sistemi di movimentazione)
Conoscenze linguistiche:
Sufficiente conoscenza (scritta e parlata) della lingua Inglese
"
